player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Nuno Mendes,nuno-mendes,N. Mendes,D,989768,88.5,50.0,True,goal,shootout,left-foot,high-right,0.7884,127,,7583,9,517,46.8,34.8,,,,50.0,11.5,,,53.2,0,53.2,65.2,0.996,penalty
Bradley Barcola,barcola-bradley,B. Barcola,F,996952,88.5,50.0,False,goal,shootout,right-foot,low-left,0.7884,126,,7523,10,577,52.4,13.3,,,,50.0,11.5,,,47.6,0,47.6,86.7,0.9658,penalty
Jules Koundé,jules-kounde,J. Koundé,D,827212,88.5,50.0,False,goal,shootout,right-foot,high-left,0.7884,124,,7406,12,694,53.9,21.5,,,,50.0,11.5,,,46.1,0,46.1,78.5,0.994,penalty
Bernardo Silva,bernardo-silva,B. Silva,M,331209,88.5,50.0,True,goal,shootout,left-foot,high-right,0.7884,123,,7355,13,745,47.4,27.2,,,,50.0,11.5,,,52.6,0,52.6,72.8,0.9888,penalty
Youssouf Fofana,youssouf-fofana,Y. Fofana,M,945062,88.5,50.0,False,goal,shootout,right-foot,low-centre,0.7884,122,,7312,14,788,50.0,1.9,,,,50.0,11.5,,,50.0,0,50.0,98.1,0.878,penalty
Cristiano Ronaldo,cristiano-ronaldo,C. Ronaldo,F,750,88.5,50.0,True,goal,shootout,right-foot,low-left,0.7884,122,,7260,14,840,53.5,9.5,,,,50.0,11.5,,,46.5,0,46.5,90.5,0.9868,penalty
Ousmane Dembélé,ousmane-dembele,O. Dembélé,F,818244,88.5,50.0,False,goal,shootout,right-foot,low-right,0.7884,121,,7204,15,896,47.3,1.9,,,,50.0,11.5,,,52.7,0,52.7,98.1,0.9852,penalty
Francisco Conceição,francisco-conceicao,F. Conceição,M,979222,96.4,52.6,True,goal,regular,left-foot,low-left,0.72097420692444,90,2.0,5471,1,829,53.2,3.8,,,,47.4,3.6,,,46.8,0,46.8,96.2,0.9736,regular
Robin Hranáč,robin-hranac,R. Hranáč,D,957615,98.2,51.4,True,goal,regular,left-foot,low-left,,69,,4131,22,1269,51.9,9.5,,,,48.6,1.8,,,48.1,0,48.1,90.5,,own
Lukáš Provod,lukas-provod,L. Provod,M,846122,79.3,43.4,False,goal,assisted,right-foot,low-left,0.069515906274319,62,,3691,29,1709,54.2,13.9,,,,56.6,20.7,,,45.8,0,45.8,86.1,0.3435,regular
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,795064,88.5,50.0,True,goal,shootout,right-foot,high-left,0.7884,128,,7639,8,461,53.7,21.5,,,,50.0,11.5,,,46.3,0,46.3,78.5,0.9932,penalty
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,990550,88.5,50.0,False,goal,shootout,right-foot,low-centre,0.7884,127,,7584,9,516,50.9,3.2,,,,50.0,11.5,,,49.1,0,49.1,96.8,0.9299,penalty
Ivan Toney,ivan-toney,I. Toney,F,290927,88.5,50.0,True,goal,shootout,right-foot,low-left,0.7884,126,,7529,10,571,53.2,5.1,,,,50.0,11.5,,,46.8,0,46.8,94.9,0.9882,penalty
Xherdan Shaqiri,xherdan-shaqiri,X. Shaqiri,M,65953,88.5,50.0,False,goal,shootout,left-foot,low-right,0.7884,125,,7477,11,623,46.4,15.2,,,,50.0,11.5,,,53.6,0,53.6,84.8,0.9881,penalty
Bukayo Saka,bukayo-saka,B. Saka,F,934235,88.5,50.0,True,goal,shootout,left-foot,low-right,0.7884,124,,7432,12,668,45.4,1.3,,,,50.0,11.5,,,54.6,0,54.6,98.7,0.9971,penalty
Fabian Schär,fabian-schar,F. Schär,D,101882,88.5,50.0,False,goal,shootout,right-foot,low-right,0.7884,123,,7371,13,729,47.3,5.7,,,,50.0,11.5,,,52.7,0,52.7,94.3,0.9809,penalty
Jude Bellingham,jude-bellingham,J. Bellingham,M,991011,88.5,50.0,True,goal,shootout,right-foot,low-right,0.7884,122,,7318,14,782,46.8,0.6,,,,50.0,11.5,,,53.2,0,53.2,99.4,0.9912,penalty
Cole Palmer,cole-palmer,C. Palmer,M,982780,88.5,50.0,True,goal,shootout,left-foot,low-left,0.7884,121,,7200,15,0,53.2,17.1,,,,50.0,11.5,,,46.8,0,46.8,82.9,0.9857,penalty
Bukayo Saka,bukayo-saka,B. Saka,F,934235,81.2,29.400000000000006,True,goal,assisted,left-foot,low-left,0.02388658374548,80,,4786,11,614,54.7,10.8,,,,70.6,18.8,,,45.3,0,45.3,89.2,0.5346,regular
Breel Embolo,breel-embolo,B. Embolo,F,352296,97.4,52.2,False,goal,regular,right-foot,low-left,0.70410615205765,75,,4454,16,946,53.3,3.2,,,,47.8,2.6,,,46.7,0,46.7,96.8,0.9879,regular
Mert Müldür,mert-muldur,M. Müldür,D,836683,93.1,58.5,True,goal,regular,left-foot,low-centre,,76,,4527,15,873,48.8,1.9,,,,41.5,6.9,,,51.2,0,51.2,98.1,,own
Stefan de Vrij,stefan-de-vrij,S. de Vrij,D,91046,90.2,48.2,True,goal,corner,head,low-centre,0.069732375442982,70,,4194,21,1206,48.3,3.8,,,,51.8,9.8,,,51.7,0,51.7,96.2,0.2535,regular
Samet Akaydın,samet-akaydin,S. Akaydın,D,863600,97.9,55.8,False,goal,corner,head,high-centre,0.28690454363823,35,,2087,11,613,50.7,31.0,,,,44.2,2.1,,,49.3,0,49.3,69.0,0.6524,regular
Bernardo Silva,bernardo-silva,B. Silva,M,331209,88.5,50.0,True,goal,shootout,left-foot,low-right,0.7884,125,,7448,11,652,46.0,6.3,,,,50.0,11.5,,,54.0,0,54.0,93.7,0.9931,penalty
Bruno Fernandes,bruno-fernandes,B. Fernandes,M,288205,88.5,50.0,True,goal,shootout,right-foot,low-left,0.7884,123,,7349,13,751,53.6,1.3,,,,50.0,11.5,,,46.4,0,46.4,98.7,0.9929,penalty
Cristiano Ronaldo,cristiano-ronaldo,C. Ronaldo,F,750,88.5,50.0,True,goal,shootout,right-foot,low-left,0.7884,121,,7253,15,847,54.2,7.0,,,,50.0,11.5,,,45.8,0,45.8,93.0,0.9941,penalty
Emre Can,emre-can,E. Can,M,138156,79.7,52.2,True,goal,assisted,right-foot,low-right,0.035832051187754,90,3.0,5553,1,747,45.8,8.2,,,,47.8,20.3,,,54.2,0,54.2,91.8,0.3357,regular
Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,142622,92.3,46.2,False,goal,set-piece,head,high-centre,,87,,5192,4,208,49.0,28.5,,,,53.8,7.7,,,51.0,0,51.0,71.5,,own
Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,132645,85.0,52.0,True,goal,regular,right-foot,high-right,0.18599766492844,68,,4063,23,1337,46.4,23.4,,,,48.0,15.0,,,53.6,0,53.6,76.6,0.3863,regular
Kai Havertz,kai-havertz,K. Havertz,M,836705,88.5,50.0,True,goal,penalty,left-foot,low-left,0.7884,45,1.0,2734,1,2666,52.2,13.9,,,,50.0,11.5,,,47.8,0,47.8,86.1,0.9606,penalty
Jamal Musiala,jamal-musiala,J. Musiala,M,1010231,87.5,53.0,True,goal,assisted,right-foot,high-left,0.17583408951759,19,,1123,27,1577,52.6,32.3,,,,47.0,12.5,,,47.4,0,47.4,67.7,0.3379,regular
Florian Wirtz,florian-wirtz,F. Wirtz,F,1019322,82.3,48.4,True,goal,assisted,right-foot,low-left,0.10261054337025,10,,594,36,2106,53.9,4.4,,,,51.6,17.7,,,46.1,0,46.1,95.6,0.3744,regular
Dani Olmo,dani-olmo,D. Olmo,M,789071,92.0,34.599999999999994,True,goal,regular,right-foot,low-centre,0.12214437872171,25,,1464,21,1236,49.7,15.8,,,,65.4,8.0,,,50.3,0,50.3,84.2,0.0283,regular
Lamine Yamal,lamine-yamal,Lamine Yamal,F,1402912,75.4,37.3,True,goal,assisted,left-foot,low-left,0.023169355466962,21,,1216,25,1484,53.9,19.0,,,,62.7,24.6,,,46.1,0,46.1,81.0,0.3761,regular
Randal Kolo Muani,randal-kolo-muani,R. K. Muani,F,871706,95.1,47.4,False,goal,assisted,head,high-right,0.52247798442841,9,,481,37,2219,45.7,23.4,,,,52.6,4.9,,,54.3,0,54.3,76.6,0.9486,regular
Erik Janža,erik-janza,E. Janža,D,124590,76.8,67.4,True,goal,corner,left-foot,high-right,0.0075910803861916,77,,4587,14,813,48.1,20.3,,,,32.6,23.2,,,51.9,0,51.9,79.7,0.0978,regular
Christian Eriksen,christian-eriksen,C. Eriksen,M,105734,91.0,45.1,False,goal,throw-in-set-piece,right-foot,low-left,0.33081686496735,17,,995,29,1705,53.9,9.5,,,,54.9,9.0,,,46.1,0,46.1,90.5,0.8282,regular
Bruno Fernandes,bruno-fernandes,B. Fernandes,M,288205,92.3,54.3,False,goal,assisted,right-foot,low-centre,0.77546727657318,56,,3300,35,2100,51.3,1.9,,,,45.7,7.7,,,48.7,0,48.7,98.1,0.6382,regular
Samet Akaydın,samet-akaydin,S. Akaydın,D,863600,80.3,30.299999999999997,False,goal,regular,right-foot,low-centre,,28,,1679,18,1021,48.4,1.3,,,,69.7,19.7,,,51.6,0,51.6,98.7,,own
Bernardo Silva,bernardo-silva,B. Silva,M,331209,91.2,45.7,False,goal,regular,left-foot,low-right,0.27489322423935,21,,1258,25,1442,46.1,13.9,,,,54.3,8.8,,,53.9,0,53.9,86.1,0.7762,regular
Xherdan Shaqiri,xherdan-shaqiri,X. Shaqiri,M,65953,79.2,63.0,False,goal,regular,left-foot,high-left,0.039123386144638,26,,1533,20,1167,54.1,27.8,,,,37.0,20.8,,,45.9,0,45.9,72.2,0.4043,regular
Scott McTominay,scott-mctominay,S. McTominay,M,879346,85.5,60.4,True,goal,fast-break,left-foot,high-left,0.10986410826445,13,,758,33,1942,53.8,29.1,,,,39.6,14.5,,,46.2,0,46.2,70.9,0.494,regular
