player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,total_time,time_interval,is_goal,mean_xG_xGOT,diff_xG_xGOT
Adam Hložek,adam-hlozek,A. Hložek,F,963801,20.6,37.9,True,save,regular,left-foot,high-centre,0.045524396002293,50,0.0,2990,41,2410,49.0,25.3,2.0,52.3,0.0,62.1,20.6,52.3,2.0,51.0,0,51.0,74.7,0.0563,,50.0,45-59 mins,0,0.050912198001146505,-0.010775603997707002
Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,F,904096,3.3,34.8,False,save,assisted,head,low-left,0.020200442522764,46,0.0,2753,45,2647,53.7,3.2,0.3,54.3,0.0,65.2,3.3,54.3,0.3,46.3,0,46.3,96.8,0.5828,,46.0,45-59 mins,0,0.301500221261382,-0.562599557477236
David Jurásek,david-jurasek,D. Jurásek,D,1030711,9.2,70.7,True,save,fast-break,left-foot,low-centre,0.23198089003563,45,0.0,2653,1,47,51.7,17.1,6.6,34.7,0.0,29.3,9.2,34.7,6.6,48.3,0,48.3,82.9,0.455,,45.0,45-59 mins,0,0.343490445017815,-0.22301910996437002
David Jurásek,david-jurasek,D. Jurásek,D,1030711,32.2,67.7,True,save,regular,left-foot,low-centre,0.0064257215708494,15,0.0,851,31,1849,50.0,17.1,1.9,49.5,0.0,32.3,32.2,49.5,1.9,50.0,0,50.0,82.9,0.0143,,15.0,15-29 mins,0,0.0103628607854247,-0.007874278429150599
Lukáš Provod,lukas-provod,L. Provod,M,846122,20.9,70.9,True,save,assisted,left-foot,low-right,0.019248142838478,2,0.0,116,44,2584,46.5,10.1,1.1,48.2,0.0,29.1,20.9,48.2,1.1,53.5,0,53.5,89.9,0.2568,,2.0,0-14 mins,0,0.13802407141923898,-0.23755185716152197
Ivan Perišić,ivan-perisic,I. Perišić,M,38710,28.4,67.3,False,save,assisted,left-foot,low-left,0.017737736925483,84,0.0,5032,7,368,53.9,15.2,1.5,48.9,0.0,32.7,28.4,48.9,1.5,46.1,0,46.1,84.8,0.1917,,84.0,75-89 mins,0,0.1047188684627415,-0.173962263074517
Bruno Petković,bruno-petkovic,B. Petković,F,309306,11.5,50.0,False,save,penalty,right-foot,low-left,0.7884,80,0.0,4742,11,658,53.8,11.4,1.0,49.8,0.0,50.0,11.5,49.8,1.0,46.2,0,46.2,88.6,0.9883,,80.0,75-89 mins,0,0.88835,-0.19989999999999997
Andrej Kramarić,andrej-kramaric,A. Kramarić,F,67647,2.7,49.1,False,save,assisted,head,high-centre,0.44897362589836,55,0.0,3272,36,2128,50.3,24.7,1.5,50.7,0.0,50.9,2.7,50.7,1.5,49.7,0,49.7,75.3,0.8995,,55.0,45-59 mins,0,0.67423681294918,-0.45052637410164
Lamine Yamal,lamine-yamal,Lamine Yamal,F,1402912,9.8,38.5,True,save,fast-break,left-foot,low-left,0.32134181261063,52,0.0,3105,39,2295,52.3,3.2,4.2,54.7,0.0,61.5,9.8,54.7,4.2,47.7,0,47.7,96.8,0.8362,,52.0,45-59 mins,0,0.578770906305315,-0.5148581873893701
Daniel Carvajal,daniel-carvajal,D. Carvajal,D,138572,5.2,46.4,True,goal,corner,right-foot,low-centre,0.50334048271179,45,2.0,2814,1,2586,48.7,2.5,,,,53.6,5.2,,,51.3,0,51.3,97.5,0.649,regular,47.0,45-59 mins,1,0.576170241355895,-0.14565951728821003
Marcelo Brozović,marcelo-brozovic,M. Brozović,M,108800,18.5,50.1,False,save,regular,right-foot,low-right,0.097135782241821,33,0.0,1974,13,726,47.4,3.8,2.4,49.1,0.0,49.9,18.5,49.1,2.4,52.6,0,52.6,96.2,0.1575,,33.0,30-44 mins,0,0.1273178911209105,-0.060364217758179003
Fabián Ruiz,fabian-ruiz,F. Ruiz,M,784655,14.3,53.4,True,goal,assisted,left-foot,low-right,0.13585475087166,32,0.0,1885,14,815,48.0,0.6,,,,46.6,14.3,,,52.0,0,52.0,99.4,0.1444,regular,32.0,30-44 mins,1,0.14012737543582998,-0.00854524912834001
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,136710,15.0,52.1,False,save,assisted,left-foot,low-right,0.13484826683998,30,0.0,1792,16,908,47.7,1.9,3.1,50.4,0.0,47.9,15.0,50.4,3.1,52.3,0,52.3,98.1,0.1603,,30.0,30-44 mins,0,0.14757413341998998,-0.02545173316002
Álvaro Morata,alvaro-morata,Á. Morata,F,125407,15.6,50.3,True,goal,fast-break,left-foot,low-left,0.40400397777557,29,0.0,1688,17,1012,52.6,3.8,,,,49.7,15.6,,,47.4,0,47.4,96.2,0.874,regular,29.0,15-29 mins,1,0.639001988887785,-0.46999602222443
Álvaro Morata,alvaro-morata,Á. Morata,F,125407,22.1,37.0,True,save,assisted,left-foot,low-right,0.047076772898436,7,0.0,382,39,2318,46.8,1.9,1.0,51.1,0.0,63.0,22.1,51.1,1.0,53.2,0,53.2,98.1,0.1882,,7.0,0-14 mins,0,0.11763838644921801,-0.141123227101564
