player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Georges Mikautadze,mikautadze-georges,G. Mikautadze,F,1009372,88.5,50.0,True,goal,penalty,right-foot,low-right,0.7884,57,,3373,34,2027,45.7,3.2,,,,50.0,11.5,,,54.3,0,54.3,96.8,0.9957,penalty
Khvicha Kvaratskhelia,khvicha-kvaratskhelia,K. Kvaratskhelia,F,889259,87.1,51.6,True,save,assisted,right-foot,low-centre,0.45204469561577,50,,2947,41,2453,50.3,8.9,3.7,49.3,0.0,48.4,12.9,49.3,3.7,49.7,0,49.7,91.1,0.0277,
Danilo Pereira,danilo-pereira,D. Pereira,D,99545,96.5,57.2,False,miss,corner,left-foot,close-left,0.11566154658794,47,,2800,44,2600,57.3,13.9,,,,42.8,3.5,,,42.7,0,42.7,86.1,,
Cristiano Ronaldo,cristiano-ronaldo,C. Ronaldo,F,750,92.8,45.8,False,block,corner,left-foot,low-left,0.12404788285494,47,,2770,44,2630,52.1,19.0,4.9,52.2,0.0,54.2,7.2,52.2,4.9,47.9,0,47.9,81.0,,
Francisco Conceição,francisco-conceicao,F. Conceição,M,979222,86.2,37.6,False,block,assisted,left-foot,high-left,0.07724817097187,46,,2737,45,2663,53.3,25.0,10.6,59.9,0.0,62.4,13.8,59.9,10.6,46.7,0,46.7,75.0,,
João Félix,joao-felix,J. Félix,F,851671,78.0,44.2,False,save,assisted,left-foot,low-centre,0.048120509833097,45,1.0,2714,1,2686,49.7,3.2,1.2,49.5,0.0,55.8,22.0,49.5,1.2,50.3,0,50.3,96.8,0.0245,
João Palhinha,joao-palhinha,J. Palhinha,M,364612,78.3,44.5,False,miss,assisted,right-foot,right,0.044719446450472,43,,2569,3,131,40.7,23.6,,,,55.5,21.7,,,59.3,0,59.3,76.4,,
Cristiano Ronaldo,cristiano-ronaldo,C. Ronaldo,F,750,93.3,64.9,False,block,assisted,left-foot,low-centre,0.056277386844158,35,,2047,11,653,48.4,16.7,5.7,37.4,0.0,35.1,6.7,37.4,5.7,51.6,0,51.6,83.3,,
Khvicha Kvaratskhelia,khvicha-kvaratskhelia,K. Kvaratskhelia,F,889259,93.3,26.5,True,miss,assisted,right-foot,close-right,0.029472840949893,33,,1945,13,755,41.5,27.8,,,,73.5,6.7,,,58.5,0,58.5,72.2,,
João Félix,joao-felix,J. Félix,F,851671,77.2,33.7,False,miss,assisted,left-foot,close-right,0.016516832634807,30,,1790,16,910,43.7,20.8,,,,66.3,22.8,,,56.3,0,56.3,79.2,,
Francisco Conceição,francisco-conceicao,F. Conceição,M,979222,89.0,31.299999999999997,False,miss,corner,left-foot,close-right,0.017804114148021,28,,1624,18,1076,43.9,26.4,,,,68.7,11.0,,,56.1,0,56.1,73.6,,
